testdir,nranks,epcnt,epsz,wrsz,blksz,access,bw(MiB/s),IOPS,Latency(s),block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),iter
/mnt/lt20ad2/fio-jobdir,512,1,372,372M,1m,
/mnt/lt20ad2/fio-jobdir,512,3,372,1116M,1m,write,1836.30,1836.30,0.202707,1142784,1024.00,0.021267,311.16,194.87,311.17,0,
/mnt/lt20ad2/fio-jobdir,512,6,372,2232M,1m,write,1897.61,1897.61,0.255195,2285568,1024.00,0.027125,602.22,340.77,602.22,0,
/mnt/lt20ad2/fio-jobdir,512,9,372,3348M,1m,write,1299.25,1299.25,0.172493,3428352,1024.00,0.022740,1319.36,973.33,1319.36,0,
/mnt/lt20ad2/fio-jobdir,512,12,372,4464M,1m,WARNING:,Task,15,,partial,write(),,434176,of,1048576,bytes,at,offset,4055891968
/mnt/lt20ad2/fio-jobdir,16,1,372,372M,1m,write,244.52,244.53,0.008695,380928,1024.00,0.007096,24.34,23.31,24.34,0,
/mnt/lt20ad2/fio-jobdir,16,3,372,1116M,1m,write,1139.96,1140.03,0.004644,1142784,1024.00,0.006858,15.66,12.76,15.66,0,
/mnt/lt20ad2/fio-jobdir,16,6,372,2232M,1m,write,894.64,894.67,0.008438,2285568,1024.00,0.014520,39.92,32.99,39.92,0,
/mnt/lt20ad2/fio-jobdir,16,9,372,3348M,1m,write,1063.77,1063.80,0.004879,3428352,1024.00,0.010783,50.36,35.02,50.36,0,
/mnt/lt20ad2/fio-jobdir,16,12,372,4464M,1m,write,1617.64,1617.70,0.005133,4571136,1024.00,0.007918,44.15,21.42,44.15,0,
/mnt/lt20ad2/fio-jobdir,64,1,372,372M,1m,write,3245.13,3245.60,0.008099,380928,1024.00,0.007095,7.34,4.47,7.34,0,
/mnt/lt20ad2/fio-jobdir,64,3,372,1116M,1m,write,2288.08,2288.17,0.014610,1142784,1024.00,0.009331,31.21,24.46,31.22,0,
/mnt/lt20ad2/fio-jobdir,64,6,372,2232M,1m,
/mnt/lt20ad2/fio-jobdir,64,9,372,3348M,1m,write,1740.12,1740.13,0.024697,3428352,1024.00,0.014205,123.14,86.79,123.14,0,
/mnt/lt20ad2/fio-jobdir,64,12,372,4464M,1m,write,1597.99,1598.00,0.039904,4571136,1024.00,0.011578,178.78,113.94,178.78,0,
/mnt/lt20ad2/fio-jobdir,512,1,372,372M,1m,
/mnt/lt20ad2/fio-jobdir,512,3,372,1116M,1m,
/mnt/lt20ad2/fio-jobdir,512,6,372,2232M,1m,write,2145.24,2145.24,0.213994,2285568,1024.00,0.025411,532.71,339.00,532.71,0,
/mnt/lt20ad2/fio-jobdir,512,9,372,3348M,1m,
/mnt/lt20ad2/fio-jobdir,512,12,372,4464M,1m,
/mnt/lt20ad2/fio-jobdir,16,1,372,372M,1m,write,1063.31,1063.57,0.008056,380928,1024.00,0.008171,5.60,3.89,5.60,0,
/mnt/lt20ad2/fio-jobdir,16,3,372,1116M,1m,
/mnt/lt20ad2/fio-jobdir,16,6,372,2232M,1m,write,2235.81,2236.02,0.005356,2285568,1024.00,0.007651,15.97,4.23,15.97,0,
/mnt/lt20ad2/fio-jobdir,16,9,372,3348M,1m,write,1387.42,1387.47,0.004728,3428352,1024.00,0.007584,38.61,24.82,38.61,0,
/mnt/lt20ad2/fio-jobdir,16,12,372,4464M,1m,write,1522.93,1522.98,0.006531,4571136,1024.00,0.008052,46.90,23.72,46.90,0,
/mnt/lt20ad2/fio-jobdir,64,1,372,372M,1m,write,1958.17,1958.34,0.018741,380928,1024.00,0.006842,12.16,9.60,12.16,0,
/mnt/lt20ad2/fio-jobdir,64,3,372,1116M,1m,write,2613.63,2613.73,0.007230,1142784,1024.00,0.011554,27.33,21.73,27.33,0,
/mnt/lt20ad2/fio-jobdir,64,6,372,2232M,1m,write,2001.43,2001.47,0.009926,2285568,1024.00,0.011388,71.37,56.26,71.37,0,
/mnt/lt20ad2/fio-jobdir,64,9,372,3348M,1m,write,1902.37,1902.39,0.012634,3428352,1024.00,0.007124,112.63,70.33,112.63,0,
/mnt/lt20ad2/fio-jobdir,64,12,372,4464M,1m,write,1871.45,1871.47,0.019461,4571136,1024.00,0.008467,152.66,82.83,152.66,0,
/mnt/lt20ad2/fio-jobdir,512,1,372,372M,1m,write,2202.08,2202.11,0.229303,380928,1024.00,0.013582,86.49,63.08,86.49,0,
/mnt/lt20ad2/fio-jobdir,512,3,372,1116M,1m,
/mnt/lt20ad2/fio-jobdir,512,6,372,2232M,1m,write,2128.03,2128.03,0.220560,2285568,1024.00,0.017628,537.01,284.05,537.02,0,
/mnt/lt20ad2/fio-jobdir,512,9,372,3348M,1m,write,1534.52,1534.52,0.190916,3428352,1024.00,0.018176,1117.08,761.37,1117.08,0,
/mnt/lt20ad2/fio-jobdir,512,12,372,4464M,1m,WARNING:,Task,203,,partial,write(),,753664,of,1048576,bytes,at,offset,2570059776
/mnt/lt20ad2/fio-jobdir,16,1,372,372M,1m,write,217.76,217.77,0.004644,380928,1024.00,0.009394,27.33,25.90,27.33,0,
/mnt/lt20ad2/fio-jobdir,16,3,372,1116M,1m,write,1008.28,1008.37,0.004832,1142784,1024.00,0.007691,17.71,12.65,17.71,0,
/mnt/lt20ad2/fio-jobdir,16,6,372,2232M,1m,write,1318.84,1318.92,0.011671,2285568,1024.00,0.007587,27.08,17.55,27.08,0,
/mnt/lt20ad2/fio-jobdir,16,9,372,3348M,1m,write,1714.85,1714.92,0.004906,3428352,1024.00,0.007694,31.24,15.70,31.24,0,
/mnt/lt20ad2/fio-jobdir,16,12,372,4464M,1m,write,1660.39,1660.46,0.005500,4571136,1024.00,0.008093,43.01,19.03,43.02,0,
/mnt/lt20ad2/fio-jobdir,64,1,372,372M,1m,write,2017.98,2018.13,0.018871,380928,1024.00,0.006314,11.80,9.99,11.80,0,
/mnt/lt20ad2/fio-jobdir,64,3,372,1116M,1m,write,2242.71,2242.79,0.012624,1142784,1024.00,0.007227,31.85,26.59,31.85,0,
/mnt/lt20ad2/fio-jobdir,64,6,372,2232M,1m,
/mnt/lt20ad2/fio-jobdir,64,9,372,3348M,1m,write,1906.55,1906.56,0.023314,3428352,1024.00,0.007373,112.39,77.71,112.39,0,
/mnt/lt20ad2/fio-jobdir,64,12,372,4464M,1m,
/mnt/lt20ad2/fio-jobdir,512,1,372,372M,1m,
/mnt/lt20ad2/fio-jobdir,512,3,372,1116M,1m,
