,runtype,run,nranks,epcnt,intvl,pvtcnt,epoch1_wr_min,epoch1_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,max_fin_dura,total_io_time,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax
104,carp-suite-intraepoch-skipsort,41,512,1,250000,512,1600000,8100000,0.037,0,56925.0,57072.0,7961.152,65033.472,,,,,,,,,,,,,,,,,,,,
105,carp-suite-intraepoch-skipsort,41,512,1,250000,256,173000,10800000,0.068,0,46031.0,46246.0,15819.539,62065.165,,,,,,,,,,,,,,,,,,,,
106,carp-suite-intraepoch-skipsort,45,512,1,500000,64,17100,12300000,0.141,0,39213.0,41229.0,25285.993000000002,66515.468,,,,,,,,,,,,,,,,,,,,
107,carp-suite-intraepoch-skipsort,41,512,1,3000000,1024,3300000,11600000,0.179,0,59949.0,62093.0,6751.084,68844.223,,,,,,,,,,,,,,,,,,,,
108,carp-suite-intraepoch-skipsort,42,512,1,750000,1024,4800000,9700000,0.042,0,37278.0,40778.0,33587.284,74365.17499999999,,,,,,,,,,,,,,,,,,,,
109,carp-suite-intraepoch-skipsort,45,512,1,1000000,64,5200,11400000,0.139,0,36460.0,41470.0,21323.754,62793.852999999996,,,,,,,,,,,,,,,,,,,,
110,carp-suite-intraepoch-skipsort,43,512,1,1000000,64,80300,11300000,0.133,0,40203.0,46531.0,29665.817,76197.143,,,,,,,,,,,,,,,,,,,,
111,carp-suite-intraepoch-skipsort,43,512,1,500000,256,98700,11300000,0.072,0,37479.0,41391.0,34228.887,75619.561,,,,,,,,,,,,,,,,,,,,
112,carp-suite-intraepoch-skipsort,44,512,1,1000000,256,94500,10800000,0.074,0,59292.0,60520.0,7414.8009999999995,67934.844,,,,,,,,,,,,,,,,,,,,
113,carp-suite-intraepoch-skipsort,42,512,1,750000,64,78000,12300000,0.142,0,38531.0,40819.0,9887.014000000001,50705.71000000001,,,,,,,,,,,,,,,,,,,,
114,carp-suite-intraepoch-skipsort,42,512,1,1000000,1024,3500000,9500000,0.039,0,41602.0,49570.0,18984.977,68555.451,,,,,,,,,,,,,,,,,,,,
115,carp-suite-intraepoch-skipsort,43,512,1,250000,256,217800,10600000,0.065,0,62287.0,62444.0,14818.166,77262.122,,,,,,,,,,,,,,,,,,,,
116,carp-suite-intraepoch-skipsort,11,512,1,750000,512,1600000,9600000,0.05,0,54552.0,54714.0,46852.210999999996,101566.294,,,,,,,,,,,,,,,,,,,,
117,carp-suite-intraepoch-skipsort,42,512,1,250000,1024,3300000,8800000,0.03,0,48508.0,48714.0,21350.926,70065.01699999999,,,,,,,,,,,,,,,,,,,,
118,carp-suite-intraepoch-skipsort,43,512,1,750000,64,8000,14200000,0.145,0,35527.0,37544.0,39411.534,76955.481,,,,,,,,,,,,,,,,,,,,
119,carp-suite-intraepoch-skipsort,42,512,1,500000,2048,3800000,13100000,0.053,0,39905.0,48569.0,23215.755,71784.94399999999,,,,,,,,,,,,,,,,,,,,
120,carp-suite-intraepoch-skipsort,43,512,1,1000000,128,165300,12000000,0.102,0,34658.0,39846.0,30326.157,70172.131,,,,,,,,,,,,,,,,,,,,
121,carp-suite-intraepoch-skipsort,11,128,6,750000,512,5900000,10600000,0.056,0,40660.0,40759.0,1737.527,243616.992,3800000.0,12500000.0,4900000.0,14100000.0,4200000.0,12000000.0,6100000.0,12500000.0,5900000.0,8800000.0,39477.0,39630.0,42317.0,42419.0,41864.0,41970.0,39338.0,39447.0,37498.0,37652.0
122,carp-suite-intraepoch-skipsort,44,512,1,500000,64,80900,11800000,0.136,0,46704.0,46859.0,12070.195,58929.467000000004,,,,,,,,,,,,,,,,,,,,
123,carp-suite-intraepoch-skipsort,11,512,1,750000,1024,221400,11200000,0.554,0,54271.0,57771.0,14989.815,72760.769,,,,,,,,,,,,,,,,,,,,
124,carp-suite-intraepoch-skipsort,45,512,1,3000000,256,120300,9200000,0.169,0,54624.0,62690.0,10427.261,73117.149,,,,,,,,,,,,,,,,,,,,
125,carp-suite-intraepoch-skipsort,45,512,1,750000,1024,2600000,10300000,0.052,0,36162.0,41575.0,21120.61,62695.815,,,,,,,,,,,,,,,,,,,,
126,carp-suite-intraepoch-skipsort,41,512,1,750000,2048,3800000,9200000,0.036,0,52984.0,55219.0,12338.637999999999,67557.313,,,,,,,,,,,,,,,,,,,,
127,carp-suite-intraepoch-skipsort,11,512,1,1000000,1024,206100,11500000,0.571,0,53783.0,54471.0,32021.941,86492.946,,,,,,,,,,,,,,,,,,,,
128,carp-suite-intraepoch-skipsort,44,512,1,3000000,1024,3500000,11500000,0.23,0,48265.0,48486.0,1397.516,49883.951,,,,,,,,,,,,,,,,,,,,
129,carp-suite-intraepoch-skipsort,42,512,1,750000,128,51900,13100000,0.103,0,36893.0,46707.0,29744.644,76451.447,,,,,,,,,,,,,,,,,,,,
130,carp-suite-intraepoch-skipsort,42,512,1,500000,256,144900,9800000,0.06,0,36840.0,44431.0,19891.679,64322.975999999995,,,,,,,,,,,,,,,,,,,,
131,carp-suite-intraepoch-skipsort,11,1024,1,750000,2048,246700,4099999,0.226,0,40773.0,55668.0,8762.033000000001,64429.906,,,,,,,,,,,,,,,,,,,,
132,carp-suite-intraepoch-skipsort,42,512,1,500000,1024,3100000,8800000,0.059,0,48452.0,48619.0,9669.110999999999,58288.509,,,,,,,,,,,,,,,,,,,,
133,carp-suite-intraepoch-skipsort,42,512,1,250000,64,9200,13900000,0.148,0,43486.0,43642.0,27609.044,71251.259,,,,,,,,,,,,,,,,,,,,
134,carp-suite-intraepoch-skipsort,44,512,1,1000000,64,44800,10000000,0.126,0,54418.0,54567.0,24670.172000000002,79237.00200000001,,,,,,,,,,,,,,,,,,,,
135,carp-suite-intraepoch-skipsort,41,512,1,750000,128,19700,9800000,0.094,0,44240.0,56704.0,12617.744999999999,69321.566,,,,,,,,,,,,,,,,,,,,
136,carp-suite-intraepoch-skipsort,45,512,1,3000000,2048,3100000,8500000,0.251,0,51901.0,52078.0,18203.386,70280.901,,,,,,,,,,,,,,,,,,,,
137,carp-suite-intraepoch-skipsort,42,512,1,250000,512,1500000,7500000,0.037,0,51320.0,51497.0,13841.076,65338.06800000001,,,,,,,,,,,,,,,,,,,,
138,carp-suite-intraepoch-skipsort,44,512,1,750000,512,2600000,11800000,0.062,0,38169.0,42680.0,13777.12,56456.710999999996,,,,,,,,,,,,,,,,,,,,
