,runtype,run,nranks,epcnt,epoch1_wr_min,epoch1_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,max_fin_dura,total_io_time,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax
46,dfs-ioonly,16,1024,1,3300000,3300000,0,0,3019.0,48836.0,45133.999,93969.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,dfs-ioonly,45,512,1,6500000,6500000,0,0,5065.0,38673.0,15269.302,53942.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,dfs-ioonly,20,1024,1,3300000,3300000,0,0,3062.0,53154.0,45474.176,98628.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,dfs-ioonly,45,256,3,6500000,6500000,0,0,5874.0,6915.0,18015.317,153685.007,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,,,,,,,5597.0,73082.0,5381.0,55672.0,,,,,,,,,,,,,,,,,,
50,dfs-ioonly,17,1024,1,3300000,3300000,0,0,2955.0,63318.0,26029.25,89347.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,dfs-ioonly,18,512,1,6500000,6500000,0,0,4925.0,70757.0,19700.354,90456.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,dfs-ioonly,12,128,6,6500000,6500000,0,0,5465.0,11006.0,24340.868000000002,142715.935,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,6232.0,10295.0,6011.0,10826.0,5751.0,16816.0,5653.0,35975.0,5920.0,33457.0,,,,,,,,,,,,
53,dfs-ioonly,19,1024,1,3300000,3300000,0,0,2971.0,48950.0,39755.336,88705.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,dfs-ioonly,13,1024,1,3300000,3300000,0,0,2847.0,46168.0,41694.240999999995,87861.80500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,dfs-ioonly,42,512,1,6500000,6500000,0,0,5842.0,35542.0,19076.878,54619.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,dfs-ioonly,43,512,1,6500000,6500000,0,0,4195.0,51155.0,30684.636000000002,81839.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,dfs-ioonly,13,512,1,6500000,6500000,0,0,5567.0,54834.0,21454.326999999997,76288.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,dfs-ioonly,14,512,1,6500000,6500000,0,0,5391.0,46419.0,24659.468,71078.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,dfs-ioonly,20,256,3,6500000,6500000,0,0,5642.0,17143.0,57322.928,173529.72199999998,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,,,,,,,5926.0,25866.0,5173.0,73197.0,,,,,,,,,,,,,,,,,,
60,dfs-ioonly,43,1024,1,3300000,3300000,0,0,2902.0,59555.0,10228.749,69783.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,dfs-ioonly,44,1024,1,3300000,3300000,0,0,2825.0,66890.0,15268.741,82158.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
