,runtype,nranks,epcnt,intvl,pvtcnt,run,total_io_time,load_std
33,carp-suite-intrapoch-skipsort,512,1,1,512,14,67,0.151
6,carp-suite-intrapoch-skipsort,512,1,1,512,15,82,0.139
9,carp-suite-intrapoch-skipsort,512,1,1,512,16,68,0.166
16,carp-suite-intrapoch-skipsort,512,1,1,512,17,102,0.18
20,carp-suite-intrapoch-skipsort,512,1,1,512,18,65,0.181
41,carp-suite-intrapoch-skipsort,512,1,1,512,19,101,0.153
2,carp-suite-intrapoch-skipsort,512,1,1,512,20,63,0.078
27,carp-suite-intrapoch-skipsort,1024,1,1,512,12,69,0.261
14,carp-suite-intrapoch-skipsort,1024,1,1,512,13,73,0.33
35,carp-suite-intrapoch-skipsort,1024,1,1,512,14,73,0.322
28,carp-suite-intrapoch-skipsort,1024,1,1,512,15,81,0.221
26,carp-suite-intrapoch-skipsort,1024,1,1,512,16,68,0.297
4,carp-suite-intrapoch-skipsort,1024,1,1,512,17,69,0.347
12,carp-suite-intrapoch-skipsort,1024,1,1,512,18,64,0.237
18,carp-suite-intrapoch-skipsort,1024,1,1,512,19,72,0.184
3,carp-suite-intrapoch-skipsort,1024,1,1,512,20,92,0.052
