,runtype,nranks,epcnt,intvl,pvtcnt,run,total_io_time,load_std
173,carp-suite-intraepoch-nowrite,1024,1,750000,512,15,27,0.099
136,carp-suite-intraepoch-nowrite,1024,1,750000,512,16,22,0.066
157,carp-suite-intraepoch-nowrite,1024,1,750000,512,17,19,0.096
165,carp-suite-intraepoch-nowrite,1024,1,750000,512,18,23,0.094
186,carp-suite-intraepoch-nowrite,1024,1,750000,512,19,19,0.101
180,carp-suite-intraepoch-nowrite,1024,1,750000,512,20,21,0.124
138,carp-suite-intraepoch-nowrite,1024,1,750000,1024,11,80,0.216
174,carp-suite-intraepoch-nowrite,1024,1,750000,2048,11,81,0.327
128,carp-suite-intraepoch-nowrite,1024,1,1000000,512,11,71,0.259
158,carp-suite-intraepoch-nowrite,1024,1,1000000,1024,11,79,0.304
177,carp-suite-intraepoch-nowrite,1024,1,1000000,2048,11,72,0.327
238,carp-suite-intraepoch-skipsort,128,6,750000,512,11,243,0.056
218,carp-suite-intraepoch-skipsort,128,6,750000,1024,11,223,0.042
253,carp-suite-intraepoch-skipsort,128,6,750000,2048,11,232,0.041
227,carp-suite-intraepoch-skipsort,128,6,1000000,512,11,222,0.044
193,carp-suite-intraepoch-skipsort,128,6,1000000,1024,11,225,0.043
199,carp-suite-intraepoch-skipsort,128,6,1000000,2048,11,240,0.045
252,carp-suite-intraepoch-skipsort,256,3,750000,512,11,155,0.095
228,carp-suite-intraepoch-skipsort,256,3,750000,1024,11,145,0.066
221,carp-suite-intraepoch-skipsort,256,3,750000,2048,11,121,0.043
210,carp-suite-intraepoch-skipsort,256,3,1000000,512,11,149,0.066
211,carp-suite-intraepoch-skipsort,256,3,1000000,1024,11,145,0.074
225,carp-suite-intraepoch-skipsort,256,3,1000000,2048,11,158,0.045
237,carp-suite-intraepoch-skipsort,512,1,750000,512,11,101,0.05
258,carp-suite-intraepoch-skipsort,512,1,750000,512,41,88,0.086
249,carp-suite-intraepoch-skipsort,512,1,750000,512,42,73,0.056
200,carp-suite-intraepoch-skipsort,512,1,750000,512,43,72,0.045
246,carp-suite-intraepoch-skipsort,512,1,750000,512,44,75,0.058
230,carp-suite-intraepoch-skipsort,512,1,750000,512,45,73,0.094
239,carp-suite-intraepoch-skipsort,512,1,750000,1024,11,72,0.554
223,carp-suite-intraepoch-skipsort,512,1,750000,1024,41,63,0.736
235,carp-suite-intraepoch-skipsort,512,1,750000,1024,42,74,0.406
198,carp-suite-intraepoch-skipsort,512,1,750000,1024,43,77,0.575
197,carp-suite-intraepoch-skipsort,512,1,750000,1024,44,65,0.506
240,carp-suite-intraepoch-skipsort,512,1,750000,1024,45,102,0.483
207,carp-suite-intraepoch-skipsort,512,1,750000,2048,11,108,0.343
241,carp-suite-intraepoch-skipsort,512,1,750000,2048,41,73,0.463
191,carp-suite-intraepoch-skipsort,512,1,750000,2048,42,91,0.434
214,carp-suite-intraepoch-skipsort,512,1,750000,2048,43,71,0.544
233,carp-suite-intraepoch-skipsort,512,1,750000,2048,44,100,0.59
248,carp-suite-intraepoch-skipsort,512,1,750000,2048,45,82,0.306
256,carp-suite-intraepoch-skipsort,512,1,1000000,512,11,67,0.317
219,carp-suite-intraepoch-skipsort,512,1,1000000,512,41,83,0.552
194,carp-suite-intraepoch-skipsort,512,1,1000000,512,42,70,0.518
209,carp-suite-intraepoch-skipsort,512,1,1000000,512,43,75,0.426
216,carp-suite-intraepoch-skipsort,512,1,1000000,512,44,103,0.392
220,carp-suite-intraepoch-skipsort,512,1,1000000,512,45,114,0.427
242,carp-suite-intraepoch-skipsort,512,1,1000000,1024,11,86,0.571
201,carp-suite-intraepoch-skipsort,512,1,1000000,1024,41,88,0.591
236,carp-suite-intraepoch-skipsort,512,1,1000000,1024,42,81,0.506
192,carp-suite-intraepoch-skipsort,512,1,1000000,1024,43,83,0.393
213,carp-suite-intraepoch-skipsort,512,1,1000000,1024,44,76,0.295
229,carp-suite-intraepoch-skipsort,512,1,1000000,1024,45,83,0.576
226,carp-suite-intraepoch-skipsort,512,1,1000000,2048,11,67,0.527
224,carp-suite-intraepoch-skipsort,512,1,1000000,2048,41,66,0.566
222,carp-suite-intraepoch-skipsort,512,1,1000000,2048,42,105,0.489
255,carp-suite-intraepoch-skipsort,512,1,1000000,2048,43,97,0.545
259,carp-suite-intraepoch-skipsort,512,1,1000000,2048,44,96,0.284
254,carp-suite-intraepoch-skipsort,512,1,1000000,2048,45,82,0.533
250,carp-suite-intraepoch-skipsort,512,1,3000000,512,41,104,0.31
202,carp-suite-intraepoch-skipsort,512,1,3000000,512,42,67,0.504
215,carp-suite-intraepoch-skipsort,512,1,3000000,512,43,87,0.457
257,carp-suite-intraepoch-skipsort,512,1,3000000,512,44,87,0.562
205,carp-suite-intraepoch-skipsort,512,1,3000000,512,45,75,0.242
234,carp-suite-intraepoch-skipsort,512,1,3000000,1024,41,112,0.587
206,carp-suite-intraepoch-skipsort,512,1,3000000,1024,42,94,0.691
251,carp-suite-intraepoch-skipsort,512,1,3000000,1024,43,81,0.402
243,carp-suite-intraepoch-skipsort,512,1,3000000,1024,44,90,0.452
217,carp-suite-intraepoch-skipsort,512,1,3000000,1024,45,62,0.423
212,carp-suite-intraepoch-skipsort,512,1,3000000,2048,41,54,0.544
196,carp-suite-intraepoch-skipsort,512,1,3000000,2048,42,87,0.27
232,carp-suite-intraepoch-skipsort,512,1,3000000,2048,43,88,0.574
208,carp-suite-intraepoch-skipsort,512,1,3000000,2048,44,75,0.283
245,carp-suite-intraepoch-skipsort,512,1,3000000,2048,45,71,0.42
204,carp-suite-intraepoch-skipsort,1024,1,750000,512,11,89,0.098
203,carp-suite-intraepoch-skipsort,1024,1,750000,1024,11,90,0.3
244,carp-suite-intraepoch-skipsort,1024,1,750000,2048,11,64,0.226
195,carp-suite-intraepoch-skipsort,1024,1,1000000,512,11,55,0.228
231,carp-suite-intraepoch-skipsort,1024,1,1000000,1024,11,67,0.299
247,carp-suite-intraepoch-skipsort,1024,1,1000000,2048,11,68,0.267
76,carp-suite-intrapoch-skipsort,32,12,1,512,16,965,0.05
116,carp-suite-intrapoch-skipsort,32,12,1,512,17,938,0.052
120,carp-suite-intrapoch-skipsort,32,12,1,512,18,979,0.044
112,carp-suite-intrapoch-skipsort,32,12,1,512,19,952,0.107
101,carp-suite-intrapoch-skipsort,32,12,1,512,20,951,0.029
83,carp-suite-intrapoch-skipsort,32,12,1,512,41,973,0.082
84,carp-suite-intrapoch-skipsort,32,12,1,512,42,961,0.097
64,carp-suite-intrapoch-skipsort,32,12,1,512,43,964,0.032
115,carp-suite-intrapoch-skipsort,32,12,1,512,44,964,0.089
46,carp-suite-intrapoch-skipsort,32,12,1,512,45,941,0.024
45,carp-suite-intrapoch-skipsort,64,12,1,512,16,631,0.033
105,carp-suite-intrapoch-skipsort,64,12,1,512,17,630,0.033
96,carp-suite-intrapoch-skipsort,64,12,1,512,18,631,0.041
55,carp-suite-intrapoch-skipsort,64,12,1,512,19,635,0.033
110,carp-suite-intrapoch-skipsort,64,12,1,512,20,634,0.031
99,carp-suite-intrapoch-skipsort,64,12,1,512,41,622,0.061
109,carp-suite-intrapoch-skipsort,64,12,1,512,42,627,0.029
56,carp-suite-intrapoch-skipsort,64,12,1,512,43,641,0.033
78,carp-suite-intrapoch-skipsort,64,12,1,512,44,648,0.041
66,carp-suite-intrapoch-skipsort,64,12,1,512,45,637,0.039
71,carp-suite-intrapoch-skipsort,128,6,1,512,12,224,0.037
94,carp-suite-intrapoch-skipsort,128,6,1,512,13,226,0.048
104,carp-suite-intrapoch-skipsort,128,6,1,512,14,227,0.036
77,carp-suite-intrapoch-skipsort,128,6,1,512,15,226,0.035
59,carp-suite-intrapoch-skipsort,128,6,1,512,16,224,0.046
88,carp-suite-intrapoch-skipsort,128,6,1,512,17,226,0.037
48,carp-suite-intrapoch-skipsort,128,6,1,512,18,229,0.039
62,carp-suite-intrapoch-skipsort,128,6,1,512,19,238,0.035
108,carp-suite-intrapoch-skipsort,128,6,1,512,20,228,0.04
85,carp-suite-intrapoch-skipsort,128,6,1,512,41,231,0.039
54,carp-suite-intrapoch-skipsort,128,6,1,512,42,224,0.044
47,carp-suite-intrapoch-skipsort,128,6,1,512,43,222,0.046
103,carp-suite-intrapoch-skipsort,128,6,1,512,44,234,0.04
72,carp-suite-intrapoch-skipsort,128,6,1,512,45,225,0.035
97,carp-suite-intrapoch-skipsort,256,3,1,512,12,143,0.05
58,carp-suite-intrapoch-skipsort,256,3,1,512,13,165,0.06
80,carp-suite-intrapoch-skipsort,256,3,1,512,14,134,0.047
61,carp-suite-intrapoch-skipsort,256,3,1,512,15,158,0.036
68,carp-suite-intrapoch-skipsort,256,3,1,512,16,148,0.063
98,carp-suite-intrapoch-skipsort,256,3,1,512,17,146,0.05
74,carp-suite-intrapoch-skipsort,256,3,1,512,18,131,0.052
79,carp-suite-intrapoch-skipsort,256,3,1,512,19,149,0.05
114,carp-suite-intrapoch-skipsort,256,3,1,512,20,141,0.056
87,carp-suite-intrapoch-skipsort,256,3,1,512,41,124,0.068
53,carp-suite-intrapoch-skipsort,256,3,1,512,42,105,0.059
106,carp-suite-intrapoch-skipsort,256,3,1,512,43,138,0.064
90,carp-suite-intrapoch-skipsort,256,3,1,512,44,135,0.042
95,carp-suite-intrapoch-skipsort,256,3,1,512,45,160,0.056
117,carp-suite-intrapoch-skipsort,512,1,1,512,12,82,0.325
65,carp-suite-intrapoch-skipsort,512,1,1,512,13,70,0.134
100,carp-suite-intrapoch-skipsort,512,1,1,512,14,67,0.151
57,carp-suite-intrapoch-skipsort,512,1,1,512,15,82,0.139
60,carp-suite-intrapoch-skipsort,512,1,1,512,16,68,0.166
69,carp-suite-intrapoch-skipsort,512,1,1,512,17,102,0.18
75,carp-suite-intrapoch-skipsort,512,1,1,512,18,65,0.181
113,carp-suite-intrapoch-skipsort,512,1,1,512,19,101,0.153
49,carp-suite-intrapoch-skipsort,512,1,1,512,20,63,0.078
93,carp-suite-intrapoch-skipsort,512,1,1,512,41,55,0.17
111,carp-suite-intrapoch-skipsort,512,1,1,512,42,58,0.208
70,carp-suite-intrapoch-skipsort,512,1,1,512,43,74,0.139
51,carp-suite-intrapoch-skipsort,512,1,1,512,44,61,0.161
107,carp-suite-intrapoch-skipsort,512,1,1,512,45,59,0.139
91,carp-suite-intrapoch-skipsort,1024,1,1,512,12,69,0.261
67,carp-suite-intrapoch-skipsort,1024,1,1,512,13,73,0.33
102,carp-suite-intrapoch-skipsort,1024,1,1,512,14,73,0.322
92,carp-suite-intrapoch-skipsort,1024,1,1,512,15,81,0.221
89,carp-suite-intrapoch-skipsort,1024,1,1,512,16,68,0.297
52,carp-suite-intrapoch-skipsort,1024,1,1,512,17,69,0.347
63,carp-suite-intrapoch-skipsort,1024,1,1,512,18,64,0.237
73,carp-suite-intrapoch-skipsort,1024,1,1,512,19,72,0.184
50,carp-suite-intrapoch-skipsort,1024,1,1,512,20,92,0.052
119,carp-suite-intrapoch-skipsort,1024,1,1,512,41,54,0.24
118,carp-suite-intrapoch-skipsort,1024,1,1,512,42,78,0.281
86,carp-suite-intrapoch-skipsort,1024,1,1,512,43,84,0.327
82,carp-suite-intrapoch-skipsort,1024,1,1,512,44,70,0.154
81,carp-suite-intrapoch-skipsort,1024,1,1,512,45,65,0.326
